Date,Start_Hour,End_Hour,Source,Season,Production,Day_of_Year,Day_Name,Month_Name
3/10/2025,9,10,Solar,Spring,4807,69,Monday,March
6/23/2023,15,16,Solar,Summer,7976,174,Friday,June
2/9/2023,13,14,Solar,Winter,5168,40,Thursday,February
5/24/2020,0,1,Wind,Spring,4384,145,Sunday,May
7/26/2021,23,0,Wind,Summer,1465,207,Monday,July
9/28/2020,6,7,Wind,Fall,3962,272,Monday,September
8/25/2021,0,1,Wind,Summer,6786,237,Wednesday,August
12/16/2021,14,15,Wind,Winter,5553,350,Thursday,December
3/11/2022,22,23,Wind,Spring,10557,70,Friday,March
4/13/2020,17,18,Wind,Spring,10961,104,Monday,April
10/4/2022,23,0,Wind,Fall,2160,277,Tuesday,October
6/12/2025,1,2,Wind,Summer,8382,163,Thursday,June
8/18/2022,10,11,Solar,Summer,3688,230,Thursday,August
10/25/2025,18,19,Wind,Fall,8209,298,Saturday,October
10/24/2023,22,23,Wind,Fall,6448,297,Tuesday,October
10/13/2021,18,19,Wind,Fall,2194,286,Wednesday,October
7/19/2025,11,12,Wind,Summer,10173,200,Saturday,July
6/1/2021,5,6,Wind,Summer,5221,152,Tuesday,June
6/30/2022,22,23,Wind,Summer,2181,181,Thursday,June
1/4/2020,5,6,Wind,Winter,3143,4,Saturday,January
4/23/2020,3,4,Wind,Spring,2541,114,Thursday,April
9/19/2021,9,10,Wind,Fall,4133,262,Sunday,September
2/1/2021,5,6,Wind,Winter,5020,32,Monday,February
7/8/2022,8,9,Wind,Summer,3748,189,Friday,July
7/8/2025,13,14,Solar,Summer,13125,189,Tuesday,July
7/7/2021,14,15,Solar,Summer,5096,188,Wednesday,July
1/22/2020,15,16,Wind,Winter,4074,22,Wednesday,January
6/28/2025,17,18,Solar,Summer,7681,179,Saturday,June
2/25/2021,3,4,Wind,Winter,4820,56,Thursday,February
5/22/2021,17,18,Wind,Spring,10961,142,Saturday,May
2/16/2022,5,6,Wind,Winter,14822,47,Wednesday,February
6/22/2023,4,5,Wind,Summer,3376,173,Thursday,June
6/18/2022,22,23,Wind,Summer,8199,169,Saturday,June
6/8/2022,15,16,Wind,Summer,10512,159,Wednesday,June
12/1/2022,3,4,Wind,Winter,3869,335,Thursday,December
4/17/2023,16,17,Wind,Spring,10404,107,Monday,April
12/9/2020,9,10,Wind,Winter,3334,344,Wednesday,December
2/7/2023,18,19,Wind,Winter,5042,38,Tuesday,February
9/28/2020,20,21,Wind,Fall,4228,272,Monday,September
2/12/2023,15,16,Solar,Winter,5718,43,Sunday,February
11/23/2023,2,3,Wind,Fall,2948,327,Thursday,November
12/12/2024,19,20,Wind,Winter,3528,347,Thursday,December
5/11/2025,1,2,Wind,Spring,7504,131,Sunday,May
5/30/2024,19,20,Wind,Spring,8561,151,Thursday,May
7/29/2024,16,17,Solar,Summer,8215,211,Monday,July
8/27/2024,23,0,Wind,Summer,3000,240,Tuesday,August
11/13/2021,9,10,Wind,Fall,5084,317,Saturday,November
9/20/2021,19,20,Wind,Fall,3112,263,Monday,September
2/13/2023,12,13,Solar,Winter,6722,44,Monday,February
11/14/2020,2,3,Wind,Fall,4362,319,Saturday,November
1/29/2025,0,1,Wind,Winter,18199,29,Wednesday,January
3/2/2022,4,5,Wind,Spring,2961,61,Wednesday,March
6/6/2025,16,17,Wind,Summer,7448,157,Friday,June
7/15/2025,2,3,Wind,Summer,3144,196,Tuesday,July
5/15/2022,15,16,Solar,Spring,9252,135,Sunday,May
6/6/2024,16,17,Solar,Summer,7935,158,Thursday,June
12/1/2020,6,7,Wind,Winter,7577,336,Tuesday,December
2/1/2020,20,21,Wind,Winter,10073,32,Saturday,February
12/5/2022,7,8,Wind,Winter,723,339,Monday,December
11/2/2021,17,18,Wind,Fall,1723,306,Tuesday,November
3/30/2024,15,16,Solar,Spring,7864,90,Saturday,March
5/7/2020,14,15,Solar,Spring,4403,128,Thursday,May
7/22/2024,4,5,Wind,Summer,3323,204,Monday,July
1/23/2022,23,0,Wind,Winter,3658,23,Sunday,January
4/16/2024,8,9,Wind,Spring,14410,107,Tuesday,April
2/2/2021,17,18,Wind,Winter,9228,33,Tuesday,February
4/6/2025,12,13,Solar,Spring,8484,96,Sunday,April
10/24/2025,20,21,Wind,Fall,12993,297,Friday,October
9/12/2024,19,20,Wind,Fall,4668,256,Thursday,September
6/1/2021,20,21,Wind,Summer,3220,152,Tuesday,June
6/10/2022,4,5,Wind,Summer,2337,161,Friday,June
5/12/2024,4,5,Wind,Spring,3727,133,Sunday,May
11/1/2025,1,2,Wind,Fall,13837,305,Saturday,November
5/29/2022,9,10,Solar,Spring,7338,149,Sunday,May
8/30/2023,18,19,Wind,Summer,7641,242,Wednesday,August
4/29/2023,20,21,Wind,Spring,2453,119,Saturday,April
5/22/2022,15,16,Solar,Spring,5188,142,Sunday,May
8/12/2022,12,13,Solar,Summer,8910,224,Friday,August
8/31/2020,13,14,Solar,Summer,4731,244,Monday,August
9/17/2020,1,2,Wind,Fall,5365,261,Thursday,September
5/13/2023,10,11,Solar,Spring,7155,133,Saturday,May
10/16/2021,15,16,Solar,Fall,4121,289,Saturday,October
1/4/2022,8,9,Wind,Winter,6398,4,Tuesday,January
11/10/2024,22,23,Wind,Fall,2532,315,Sunday,November
4/25/2022,21,22,Wind,Spring,2493,115,Monday,April
5/14/2021,11,12,Wind,Spring,7152,134,Friday,May
10/14/2020,8,9,Wind,Fall,3082,288,Wednesday,October
9/29/2021,13,14,Wind,Fall,11398,272,Wednesday,September
2/2/2020,2,3,Wind,Winter,6412,33,Sunday,February
7/10/2021,19,20,Wind,Summer,3038,191,Saturday,July
6/9/2022,0,1,Wind,Summer,6305,160,Thursday,June
12/4/2021,2,3,Wind,Winter,8913,338,Saturday,December
8/5/2020,4,5,Wind,Summer,1018,218,Wednesday,August
1/22/2020,16,17,Wind,Winter,3930,22,Wednesday,January
2/21/2024,0,1,Wind,Winter,3618,52,Wednesday,February
1/1/2021,12,13,Solar,Winter,1994,1,Friday,January
7/20/2021,22,23,Wind,Summer,3054,201,Tuesday,July
7/9/2025,11,12,Solar,Summer,9719,190,Wednesday,July
12/8/2024,6,7,Wind,Winter,16946,343,Sunday,December
10/21/2024,20,21,Wind,Fall,4621,295,Monday,October
7/3/2025,13,14,Solar,Summer,9835,184,Thursday,July
6/3/2022,8,9,Wind,Summer,3026,154,Friday,June
6/15/2022,13,14,Solar,Summer,6208,166,Wednesday,June
3/18/2022,5,6,Wind,Spring,8159,77,Friday,March
3/9/2021,8,9,Wind,Spring,2948,68,Tuesday,March
2/17/2022,19,20,Wind,Winter,8507,48,Thursday,February
11/11/2021,5,6,Wind,Fall,982,315,Thursday,November
6/6/2020,1,2,Wind,Summer,5766,158,Saturday,June
10/24/2020,8,9,Wind,Fall,8585,298,Saturday,October
9/18/2023,9,10,Wind,Fall,8347,261,Monday,September
11/24/2025,7,8,Wind,Fall,8309,328,Monday,November
9/9/2021,1,2,Wind,Fall,2685,252,Thursday,September
9/25/2025,18,19,Wind,Fall,3302,268,Thursday,September
5/12/2021,17,18,Wind,Spring,4435,132,Wednesday,May
6/2/2022,9,10,Solar,Summer,4378,153,Thursday,June
1/14/2025,15,16,Solar,Winter,4353,14,Tuesday,January
3/22/2023,14,15,Wind,Spring,15456,81,Wednesday,March
7/7/2024,19,20,Wind,Summer,4892,189,Sunday,July
1/28/2021,4,5,Wind,Winter,9675,28,Thursday,January
2/12/2025,1,2,Wind,Winter,2685,43,Wednesday,February
8/25/2021,14,15,Solar,Summer,9454,237,Wednesday,August
7/17/2023,6,7,Wind,Summer,2269,198,Monday,July
6/25/2025,13,14,Solar,Summer,9397,176,Wednesday,June
3/3/2021,9,10,Wind,Spring,1845,62,Wednesday,March
6/22/2021,14,15,Wind,Summer,6749,173,Tuesday,June
3/19/2025,13,14,Solar,Spring,13786,78,Wednesday,March
5/31/2020,19,20,Wind,Spring,5250,152,Sunday,May
2/21/2020,16,17,Wind,Winter,7148,52,Friday,February
6/4/2023,8,9,Wind,Summer,4706,155,Sunday,June
3/3/2025,18,19,Wind,Spring,2282,62,Monday,March
8/17/2025,12,13,Solar,Summer,11455,229,Sunday,August
1/3/2020,21,22,Wind,Winter,4570,3,Friday,January
5/19/2023,18,19,Wind,Spring,8236,139,Friday,May
4/3/2021,5,6,Wind,Spring,7508,93,Saturday,April
7/16/2025,12,13,Solar,Summer,16160,197,Wednesday,July
6/8/2024,5,6,Wind,Summer,2141,160,Saturday,June
9/29/2022,15,16,Solar,Fall,3999,272,Thursday,September
9/19/2024,8,9,Wind,Fall,8855,263,Thursday,September
5/23/2021,20,21,Wind,Spring,6519,143,Sunday,May
11/19/2024,2,3,Wind,Fall,16568,324,Tuesday,November
11/2/2025,12,13,Wind,Fall,17124,306,Sunday,November
3/6/2020,19,20,Wind,Spring,4409,66,Friday,March
9/24/2025,14,15,Wind,Fall,10617,267,Wednesday,September
3/6/2021,0,1,Wind,Spring,6907,65,Saturday,March
1/8/2024,1,2,Wind,Winter,11458,8,Monday,January
1/29/2024,9,10,Wind,Winter,8026,29,Monday,January
6/8/2024,21,22,Wind,Summer,2990,160,Saturday,June
9/5/2020,2,3,Wind,Fall,2313,249,Saturday,September
8/29/2023,16,17,Solar,Summer,6026,241,Tuesday,August
3/31/2023,21,22,Wind,Spring,17308,90,Friday,March
8/2/2021,12,13,Solar,Summer,4915,214,Monday,August
11/12/2021,19,20,Wind,Fall,4622,316,Friday,November
4/7/2024,13,14,Wind,Spring,6534,98,Sunday,April
8/23/2022,20,21,Wind,Summer,692,235,Tuesday,August
3/31/2025,12,13,Solar,Spring,12441,90,Monday,March
12/12/2024,23,0,Wind,Winter,3205,347,Thursday,December
10/30/2023,14,15,Wind,Fall,6382,303,Monday,October
7/13/2025,23,0,Wind,Summer,2819,194,Sunday,July
3/10/2020,16,17,Wind,Spring,12787,70,Tuesday,March
1/9/2021,3,4,Wind,Winter,2353,9,Saturday,January
4/2/2021,2,3,Wind,Spring,7071,92,Friday,April
11/24/2022,21,22,Wind,Fall,10233,328,Thursday,November
8/4/2025,4,5,Wind,Summer,2819,216,Monday,August
9/24/2021,10,11,Solar,Fall,3708,267,Friday,September
11/14/2020,14,15,Wind,Fall,9092,319,Saturday,November
2/12/2025,11,12,Solar,Winter,3734,43,Wednesday,February
11/18/2024,17,18,Wind,Fall,7419,323,Monday,November
8/25/2025,11,12,Solar,Summer,7160,237,Monday,August
11/11/2025,13,14,Wind,Fall,13901,315,Tuesday,November
9/15/2021,9,10,Wind,Fall,2675,258,Wednesday,September
8/21/2022,7,8,Wind,Summer,794,233,Sunday,August
11/14/2025,3,4,Wind,Fall,10916,318,Friday,November
4/30/2022,10,11,Solar,Spring,6810,120,Saturday,April
10/9/2022,3,4,Wind,Fall,4965,282,Sunday,October
4/26/2024,0,1,Wind,Spring,2294,117,Friday,April
3/12/2022,15,16,Wind,Spring,9696,71,Saturday,March
2/21/2023,12,13,Solar,Winter,4252,52,Tuesday,February
3/29/2023,11,12,Solar,Spring,8491,88,Wednesday,March
4/27/2021,22,23,Wind,Spring,2003,117,Tuesday,April
2/17/2020,4,5,Wind,Winter,6453,48,Monday,February
1/19/2024,23,0,Wind,Winter,3521,19,Friday,January
3/31/2025,7,8,Wind,Spring,5090,90,Monday,March
11/2/2021,12,13,Wind,Fall,6192,306,Tuesday,November
11/11/2022,7,8,Wind,Fall,3461,315,Friday,November
10/26/2021,12,13,Solar,Fall,5605,299,Tuesday,October
9/22/2022,19,20,Wind,Fall,399,265,Thursday,September
5/11/2025,13,14,Solar,Spring,4563,131,Sunday,May
1/28/2022,1,2,Wind,Winter,2439,28,Friday,January
11/20/2022,10,11,Wind,Fall,9228,324,Sunday,November
7/12/2022,1,2,Wind,Summer,4082,193,Tuesday,July
11/24/2024,12,13,Wind,Fall,22929,329,Sunday,November
2/1/2020,4,5,Wind,Winter,9131,32,Saturday,February
11/6/2024,5,6,Wind,Fall,189,311,Wednesday,November
10/28/2021,9,10,Wind,Fall,6796,301,Thursday,October
10/22/2020,12,13,Wind,Fall,5144,296,Thursday,October
3/10/2022,0,1,Wind,Spring,6808,69,Thursday,March
11/3/2021,5,6,Wind,Fall,3819,307,Wednesday,November
12/8/2024,2,3,Wind,Winter,16670,343,Sunday,December
6/3/2020,5,6,Wind,Summer,631,155,Wednesday,June
6/27/2020,11,12,Wind,Summer,9506,179,Saturday,June
6/4/2021,3,4,Wind,Summer,1527,155,Friday,June
11/17/2020,22,23,Wind,Fall,2667,322,Tuesday,November
10/21/2021,8,9,Wind,Fall,11321,294,Thursday,October
8/19/2021,23,0,Wind,Summer,940,231,Thursday,August
6/4/2020,23,0,Wind,Summer,2918,156,Thursday,June
8/14/2023,11,12,Solar,Summer,7955,226,Monday,August
5/13/2024,3,4,Wind,Spring,2321,134,Monday,May
8/11/2024,16,17,Solar,Summer,5870,224,Sunday,August
5/4/2021,7,8,Wind,Spring,13322,124,Tuesday,May
4/26/2025,11,12,Solar,Spring,4018,116,Saturday,April
1/21/2020,18,19,Wind,Winter,3303,21,Tuesday,January
11/2/2021,19,20,Wind,Fall,2311,306,Tuesday,November
7/29/2023,1,2,Wind,Summer,3618,210,Saturday,July
5/21/2023,8,9,Wind,Spring,4686,141,Sunday,May
2/7/2025,18,19,Wind,Winter,9119,38,Friday,February
7/25/2022,11,12,Wind,Summer,10186,206,Monday,July
10/16/2024,16,17,Wind,Fall,11196,290,Wednesday,October
1/11/2022,18,19,Wind,Winter,2621,11,Tuesday,January
4/19/2024,2,3,Wind,Spring,6475,110,Friday,April
7/28/2024,23,0,Wind,Summer,6281,210,Sunday,July
4/5/2025,18,19,Wind,Spring,8043,95,Saturday,April
1/4/2022,20,21,Wind,Winter,9372,4,Tuesday,January
7/6/2023,4,5,Wind,Summer,1028,187,Thursday,July
3/22/2024,23,0,Wind,Spring,7326,82,Friday,March
1/16/2024,9,10,Wind,Winter,2207,16,Tuesday,January
5/8/2024,20,21,Wind,Spring,3372,129,Wednesday,May
1/26/2025,19,20,Wind,Winter,19633,26,Sunday,January
7/20/2020,7,8,Wind,Summer,3155,202,Monday,July
3/2/2024,1,2,Wind,Spring,11147,62,Saturday,March
5/17/2021,13,14,Wind,Spring,15419,137,Monday,May
9/22/2024,4,5,Wind,Fall,3577,266,Sunday,September
7/18/2021,3,4,Wind,Summer,5140,199,Sunday,July
3/20/2020,15,16,Wind,Spring,7700,80,Friday,March
4/14/2025,23,0,Wind,Spring,5469,104,Monday,April
2/19/2020,7,8,Wind,Winter,7659,50,Wednesday,February
11/21/2021,4,5,Wind,Fall,556,325,Sunday,November
10/25/2023,10,11,Wind,Fall,10951,298,Wednesday,October
7/16/2023,19,20,Wind,Summer,5612,197,Sunday,July
7/22/2020,12,13,Solar,Summer,3790,204,Wednesday,July
3/8/2024,1,2,Wind,Spring,10506,68,Friday,March
12/10/2020,14,15,Wind,Winter,3341,345,Thursday,December
6/19/2022,8,9,Wind,Summer,7096,170,Sunday,June
10/23/2024,20,21,Wind,Fall,5480,297,Wednesday,October
6/11/2024,23,0,Wind,Summer,2863,163,Tuesday,June
9/9/2021,5,6,Wind,Fall,1689,252,Thursday,September
6/11/2020,15,16,Wind,Summer,5051,163,Thursday,June
6/7/2024,4,5,Wind,Summer,1976,159,Friday,June
3/26/2024,23,0,Wind,Spring,8226,86,Tuesday,March
2/9/2022,9,10,Wind,Winter,4407,40,Wednesday,February
2/15/2025,20,21,Wind,Winter,5334,46,Saturday,February
4/28/2021,6,7,Wind,Spring,857,118,Wednesday,April
8/27/2020,11,12,Solar,Summer,4553,240,Thursday,August
10/1/2024,7,8,Wind,Fall,6398,275,Tuesday,October
5/21/2021,0,1,Wind,Spring,9704,141,Friday,May
12/5/2021,22,23,Wind,Winter,4707,339,Sunday,December
8/1/2022,14,15,Solar,Summer,6729,213,Monday,August
9/18/2022,23,0,Wind,Fall,4648,261,Sunday,September
1/14/2025,4,5,Wind,Winter,2738,14,Tuesday,January
1/4/2025,9,10,Wind,Winter,4819,4,Saturday,January
8/23/2020,20,21,Wind,Summer,3074,236,Sunday,August
12/11/2022,11,12,Solar,Winter,4059,345,Sunday,December
7/5/2024,2,3,Wind,Summer,3591,187,Friday,July
7/12/2021,10,11,Wind,Summer,3055,193,Monday,July
12/4/2022,18,19,Wind,Winter,1267,338,Sunday,December
9/29/2023,15,16,Wind,Fall,10069,272,Friday,September
10/6/2024,10,11,Wind,Fall,7982,280,Sunday,October
2/27/2023,20,21,Wind,Winter,11622,58,Monday,February
6/6/2021,7,8,Wind,Summer,2047,157,Sunday,June
4/6/2022,17,18,Wind,Spring,13616,96,Wednesday,April
1/29/2025,14,15,Wind,Winter,13601,29,Wednesday,January
10/30/2024,21,22,Wind,Fall,3374,304,Wednesday,October
6/14/2024,18,19,Wind,Summer,11508,166,Friday,June
2/5/2024,19,20,Wind,Winter,7217,36,Monday,February
11/16/2020,2,3,Wind,Fall,9712,321,Monday,November
11/3/2025,12,13,Wind,Fall,14275,307,Monday,November
5/28/2023,22,23,Wind,Spring,9225,148,Sunday,May
1/24/2020,22,23,Wind,Winter,628,24,Friday,January
2/4/2022,5,6,Wind,Winter,6025,35,Friday,February
1/2/2020,18,19,Wind,Winter,5346,2,Thursday,January
8/30/2022,0,1,Wind,Summer,5425,242,Tuesday,August
11/29/2025,0,1,Wind,Fall,5241,333,Saturday,November
5/14/2025,10,11,Solar,Spring,7025,134,Wednesday,May
12/25/2024,2,3,Wind,Winter,1698,360,Wednesday,December
9/16/2024,11,12,Solar,Fall,8063,260,Monday,September
6/13/2020,2,3,Wind,Summer,3116,165,Saturday,June
5/26/2025,10,11,Solar,Spring,10578,146,Monday,May
1/29/2022,9,10,Wind,Winter,8062,29,Saturday,January
8/29/2021,7,8,Wind,Summer,3373,241,Sunday,August
8/17/2023,4,5,Wind,Summer,2138,229,Thursday,August
11/1/2021,16,17,Wind,Fall,6650,305,Monday,November
4/27/2025,13,14,Solar,Spring,4171,117,Sunday,April
3/25/2020,20,21,Wind,Spring,7278,85,Wednesday,March
11/13/2025,13,14,Wind,Fall,10055,317,Thursday,November
10/29/2022,9,10,Wind,Fall,8680,302,Saturday,October
5/12/2025,3,4,Wind,Spring,2071,132,Monday,May
12/26/2021,18,19,Wind,Winter,2979,360,Sunday,December
11/27/2022,5,6,Wind,Fall,6949,331,Sunday,November
6/10/2025,19,20,Wind,Summer,4337,161,Tuesday,June
1/14/2020,11,12,Wind,Winter,13956,14,Tuesday,January
4/19/2025,14,15,Wind,Spring,4692,109,Saturday,April
10/16/2022,4,5,Wind,Fall,3203,289,Sunday,October
11/8/2025,12,13,Solar,Fall,5483,312,Saturday,November
6/3/2023,0,1,Wind,Summer,7045,154,Saturday,June
12/21/2022,4,5,Wind,Winter,5289,355,Wednesday,December
8/15/2022,6,7,Wind,Summer,2354,227,Monday,August
6/14/2025,21,22,Wind,Summer,2617,165,Saturday,June
11/11/2021,19,20,Wind,Fall,904,315,Thursday,November
4/2/2024,19,20,Wind,Spring,9355,93,Tuesday,April
12/3/2024,0,1,Wind,Winter,6322,338,Tuesday,December
8/18/2021,10,11,Solar,Summer,4153,230,Wednesday,August
2/18/2022,0,1,Wind,Winter,6361,49,Friday,February
6/15/2020,9,10,Solar,Summer,3227,167,Monday,June
6/6/2020,3,4,Wind,Summer,5774,158,Saturday,June
10/31/2022,6,7,Wind,Fall,3071,304,Monday,October
8/2/2023,18,19,Wind,Summer,18182,214,Wednesday,August
6/8/2023,6,7,Wind,Summer,4578,159,Thursday,June
4/21/2024,15,16,Wind,Spring,10808,112,Sunday,April
11/2/2025,9,10,Wind,Fall,11230,306,Sunday,November
1/11/2023,22,23,Wind,Winter,15390,11,Wednesday,January
3/19/2020,11,12,Solar,Spring,3951,79,Thursday,March
8/17/2025,8,9,Wind,Summer,6183,229,Sunday,August
8/7/2020,6,7,Wind,Summer,2021,220,Friday,August
11/22/2025,9,10,Wind,Fall,8243,326,Saturday,November
9/4/2025,5,6,Wind,Fall,6876,247,Thursday,September
7/22/2020,10,11,Solar,Summer,2606,204,Wednesday,July
4/26/2021,3,4,Wind,Spring,9366,116,Monday,April
8/19/2021,4,5,Wind,Summer,1485,231,Thursday,August
10/25/2022,14,15,Solar,Fall,5213,298,Tuesday,October
4/6/2020,9,10,Wind,Spring,6188,97,Monday,April
7/8/2023,15,16,Solar,Summer,8194,189,Saturday,July
5/10/2020,10,11,Wind,Spring,2276,131,Sunday,May
1/17/2020,1,2,Wind,Winter,9434,17,Friday,January
1/10/2024,9,10,Wind,Winter,2524,10,Wednesday,January
3/29/2022,14,15,Solar,Spring,4278,88,Tuesday,March
12/7/2022,14,15,Solar,Winter,3789,341,Wednesday,December
6/6/2024,1,2,Wind,Summer,1268,158,Thursday,June
1/30/2020,6,7,Wind,Winter,6684,30,Thursday,January
8/18/2020,9,10,Solar,Summer,1797,231,Tuesday,August
12/12/2024,7,8,Wind,Winter,3380,347,Thursday,December
4/4/2022,23,0,Wind,Spring,8520,94,Monday,April
10/13/2025,4,5,Wind,Fall,6073,286,Monday,October
6/18/2024,4,5,Wind,Summer,2793,170,Tuesday,June
5/10/2022,6,7,Wind,Spring,2478,130,Tuesday,May
4/26/2023,15,16,Solar,Spring,4624,116,Wednesday,April
6/16/2021,2,3,Wind,Summer,1499,167,Wednesday,June
9/3/2021,6,7,Wind,Fall,2094,246,Friday,September
4/7/2025,3,4,Wind,Spring,6184,97,Monday,April
7/21/2020,8,9,Wind,Summer,3014,203,Tuesday,July
5/12/2022,10,11,Solar,Spring,4025,132,Thursday,May
12/22/2022,11,12,Wind,Winter,13135,356,Thursday,December
10/8/2024,22,23,Wind,Fall,13096,282,Tuesday,October
6/13/2021,5,6,Wind,Summer,2592,164,Sunday,June
3/9/2021,22,23,Wind,Spring,2083,68,Tuesday,March
1/3/2022,17,18,Wind,Winter,8634,3,Monday,January
2/15/2025,21,22,Wind,Winter,5507,46,Saturday,February
12/3/2021,13,14,Wind,Winter,13277,337,Friday,December
5/7/2021,8,9,Wind,Spring,3061,127,Friday,May
6/27/2025,2,3,Wind,Summer,3511,178,Friday,June
2/1/2020,11,12,Wind,Winter,11252,32,Saturday,February
7/1/2020,20,21,Wind,Summer,4054,183,Wednesday,July
5/1/2023,20,21,Wind,Spring,3856,121,Monday,May
7/8/2025,18,19,Solar,Summer,8997,189,Tuesday,July
2/18/2021,20,21,Wind,Winter,6214,49,Thursday,February
11/28/2022,13,14,Wind,Fall,5047,332,Monday,November
7/1/2021,17,18,Solar,Summer,3901,182,Thursday,July
11/15/2023,20,21,Wind,Fall,4554,319,Wednesday,November
1/14/2021,10,11,Wind,Winter,8411,14,Thursday,January
5/27/2020,11,12,Solar,Spring,5832,148,Wednesday,May
4/16/2020,21,22,Wind,Spring,1491,107,Thursday,April
6/29/2020,16,17,Wind,Summer,10010,181,Monday,June
4/2/2024,6,7,Wind,Spring,13175,93,Tuesday,April
5/8/2022,1,2,Wind,Spring,4285,128,Sunday,May
12/29/2023,15,16,Wind,Winter,13922,363,Friday,December
3/15/2024,3,4,Wind,Spring,10445,75,Friday,March
6/7/2021,6,7,Wind,Summer,1268,158,Monday,June
3/31/2020,17,18,Wind,Spring,10262,91,Tuesday,March
9/13/2021,1,2,Wind,Fall,2586,256,Monday,September
1/16/2023,14,15,Wind,Winter,16385,16,Monday,January
2/1/2021,20,21,Wind,Winter,3405,32,Monday,February
9/13/2022,5,6,Wind,Fall,1654,256,Tuesday,September
7/29/2023,15,16,Wind,Summer,11966,210,Saturday,July
8/9/2020,16,17,Solar,Summer,3364,222,Sunday,August
9/23/2021,1,2,Wind,Fall,1404,266,Thursday,September
3/18/2021,9,10,Wind,Spring,4597,77,Thursday,March
1/13/2024,0,1,Wind,Winter,2503,13,Saturday,January
6/27/2023,6,7,Wind,Summer,2239,178,Tuesday,June
12/15/2023,0,1,Wind,Winter,2968,349,Friday,December
6/12/2023,19,20,Wind,Summer,3168,163,Monday,June
12/14/2020,6,7,Wind,Winter,8437,349,Monday,December
5/4/2023,13,14,Solar,Spring,11275,124,Thursday,May
1/6/2022,11,12,Solar,Winter,5010,6,Thursday,January
5/5/2023,6,7,Wind,Spring,2188,125,Friday,May
