Appliances,lights,T1,T2,T3,RH_1,RH_2,RH_3
60,0,22,20.9267,23.39,41.7,42.2,38.29
100,30,23.6,22.18,24.29,37.59,37.09,35.5643
40,0,18.89,18.2,19.8567,42.2,41.29,43.29
60,20,21.29,18.5333,22,39.9333,43.79,38.29
90,0,25,25.1333,26.2,36.03,32.6667,36.4
50,0,24.89,23.9633,25.39,38.8633,37.6267,37.59
50,0,21.0333,20.26,21.89,39.53,40.29,37.5
50,0,21.7,23.76,22.5,39.29,35.5667,36.79
30,10,19.79,17.89,20.29,35.9,36.3267,36.03
60,0,20.6,18.79,21.39,40.2,41.53,40.8633
50,30,23.1667,22.23,23.29,45.09,44.09,45.1633
90,10,21.7,19.1,20.3233,36.2,39.09,36.5
100,0,25.2,24.4371,26,48.4,47.5386,43.96
60,0,20.8233,19.9175,20.79,41.9333,41.7,44.59
50,0,23.39,22.4633,21.5,40.06,39.6633,43.06
40,0,21.1,19.1,20.9529,36.2129,37.59,38.4714
110,10,19.8233,19.5,19.6,44.5,43.8267,43.73
120,0,22.89,21.3233,24.29,43.6567,43.59,38.9
70,0,21,17.7,22.6,35.4,39.59,35.1633
490,0,24.9267,23.6,23.4633,32.1267,30.7257,30.5633
70,10,23.8233,22.5,23.6,34.59,33.9667,35.29
60,0,22.1,20.1571,20.7675,36.8057,37.2257,37.9
190,20,19.2,17.79,19,39.53,40.245,39.6633
140,0,22.7,21.89,22.5611,42.73,42.1333,43.8817
130,0,23.2,22.89,23.29,37.9667,35.7,36.59
80,0,20.6,18.79,21.6333,43.26,44.76,42.2667
50,0,22.1333,19.6,24.7,43.79,47.5,41
60,0,21.79,23.89,22.1,37.1267,31.89,37.2
170,0,19.6,18.3233,19.7,36.8633,36.5267,36.7514
50,0,24.79,23.4814,26.02,47.03,48.5543,43.4
90,0,22.2,23.79,23.1,39.09,35.1633,37.7
50,0,19.2,18.5,19.89,43.76,43.775,45
60,0,21.29,18.4267,22.2,39.1633,43.4,37.8633
40,0,19.1,17.6667,19.6,39.09,39.56,40.5
120,10,19.39,16.89,19.79,36.7,39.9,36.6267
50,0,20.6,19.79,20.6,43.9,43.4667,44.29
180,20,21.5,20.6333,21.5,46.3,44.8267,43.2
90,0,20.89,19.6,22.3043,38.7257,38.1371,38.71
60,20,22.79,21.89,23.29,45.4,44.6175,45.4
170,0,21.7,19.79,20.39,36.2,36.7233,35.7
100,0,22.29,20.1,22.2,36.2,38.2,35
60,0,22.89,20.4633,23.5,34.59,36,36.79
70,0,22.7,21.73,24.1,39.23,37.7,36.4333
190,10,22.2,19.89,25,44.7967,48.1633,40.4933
70,0,21.39,17.79,22.39,38.09,43,37
100,10,22.7,19.5,22.9633,40.09,42.5667,34.86
290,20,21,19.2,20.5,41.79,42.5,42
280,10,26.2,25.5667,28.6286,41.0967,37.1333,36.0114
290,0,23.7,22.456,24.39,43.6633,42.79,40
80,0,24.5,25.39,24,34.9333,30.89,35.4333
100,0,24.79,24.89,24.4633,38.3233,33.9,36.2967
40,0,21.84,18.79,24.1333,41.045,46.4667,39.29
120,20,21.7,20.0667,21.79,45.9,45.8633,42.7
50,0,25.2,23.79,26.7675,43.29,43.6633,40
90,10,22.3567,20.4542,21,45.63,42.3417,40.73
60,0,22.1,19.29,22.29,38.7,42.4,38
30,0,19.6,18.1333,19.79,41.09,41.7,40.59
120,0,25.5,25.73,25.39,37.16,33.0667,36.09
50,0,25.1,23.29,26.6,48.4,49.834,44.5
40,0,21.6,20.89,23.1,42.59,41.5,43.045
60,30,21.79,20.26,21.39,38.29,39,38
70,0,21,17.76,22.6,35.29,39.4,35.09
40,0,19,18.3567,19.79,47.4,47.1633,45.5
40,0,24.39,24.1667,25.7,46.6633,44.9333,42.5
40,0,19.5333,18.79,19.89,44.9333,44.2,44.6267
90,20,22.1,20.5,21.5,37.59,37.9333,38.56
20,0,18.89,18,19.7,43.79,44.1267,43.5
90,20,21.89,20.26,20.6333,37.3267,38.1267,38.4
80,0,21.39,18.89,22.39,39,42.56,37.8267
50,0,21.89,19.26,24.6,38.09,41.29,37.29
90,0,21.89,19.9267,22.2,38.2967,37.9333,35.26
20,0,19.29,18.1,19.1,40.1267,40.53,39.59
50,0,20,18.0333,19.6,33.3633,34.3267,35.29
40,0,19.7,18.89,20.39,45.09,44.59,44
150,20,21.39,21.1,20.79,43.045,41.4,42.09
50,0,20.89,20.3233,20.8567,43.7225,41.2,42.2
40,0,19.6,18.89,19.9633,43.79,43.5,44.79
50,0,19.89,19.3567,20.8567,42.09,40.7,41.9
50,0,21.6333,20.8567,21.5,41.4333,40.5,42.5
100,0,21.7,19.9843,20.84,33.4267,32.3271,35.995
100,10,20.6,18.7,20.1,33.79,34.59,35.2
190,0,20.6,19.5667,21.5,41.6933,39.4633,40.4667
390,20,20.39,19.39,20.4267,43.2667,43.3633,44.23
40,0,20.7,17.2,22.1,36.29,40.4,36.09
410,20,22.5,21.6,21.89,45.56,44.8633,44.73
60,0,21.1,23.3567,21.79,44,39.6567,40.5
70,0,22.5,20.0333,22.39,35.29,36.2,35.59
130,0,19.79,19.1,20.1333,38.7,38.1633,37.06
80,10,20.6,19.2,19.89,33.56,33.79,33.8267
60,0,21.2,18,22.5,39.4,44.09,39.06
100,0,21.7,20.8567,22.39,42.73,42.4333,39.1633
50,0,21.89,23.3267,23.1,41.79,39.2267,38.53
70,0,20.1,19.445,20.5,39.6633,39.6,38.5
50,0,21.89,20.5,24.5333,38.6567,37.6267,36.1333
50,20,20.7,19.8567,21.29,44.8633,42.26,42.6817
70,30,23.1,22.31,24.39,46.4633,46.138,40.9633
60,0,22.39,19.26,24,40.9,45.9,38.7
70,0,20.89,20.2,21.6667,42.9333,40.26,40.9667
50,0,19.4633,17.29,20.1,37.6633,40,37.3633
100,0,20,18.1933,20.2,34.29,36.7267,35.76
150,0,22.39,21.4633,25.3233,45.1333,43.6633,40.3267
120,0,21.29,20.5,22.1,43.23,42,41.545
680,0,20.29,19.6,20.5333,39.3333,38.36,40.3267
80,0,22.89,21.7,23.5,41.59,41.1633,39.5
60,20,22,21.4267,21.6455,44.56,42.8267,45.3873
50,0,20.89,19.0667,21.2,39.09,39.5,38.29
40,0,21.8233,19.4267,22,36.3267,37.79,35.7
120,0,21.2,21.39,22,41.9633,41.33,38.53
60,0,23.29,21.7,24.4267,41.29,41.6657,39.1567
40,0,20.7,18.89,21.8567,43.09,44.5,42.8633
50,0,22,19.79,23.4633,43.1633,44.7,40.8633
30,0,21,18.89,21,39.9,41.09,40.4667
70,0,22.5,22.89,23.29,41.4,38.2,39.2
330,10,23.6,22,23.79,41.3233,39.6225,39.09
60,0,20.79,20.8567,21.4267,35,33.2,34.9333
90,0,20.79,19.5333,19.79,33.3667,31.8,34.03
430,0,19.1,18.89,19.46,34.8333,33.59,35.9933
50,0,22.29,20.1,23.5,37.2,39.1267,37.79
60,20,22.39,21.1,22.1,43.195,43.53,42.29
50,0,25.39,26.2,26.2,47.23,43.134,43.59
120,10,17,16.2,17.39,44.1633,44.245,42.09
60,0,23.79,21.7,24.5,37.7,39.09,38.09
60,0,20.8567,19.1333,20.2,33.3633,33.76,34.7
50,0,22.79,21.29,21.6,32.8967,32.3567,34.79
50,0,20.2,17.29,22.1,34.4,37.59,35.1267
50,0,20.39,18.6286,20.6,38,39,37.8588
110,0,25.29,24.1667,26,46.6333,45.6933,42.73
40,0,20.1,19.5,19.7,44.7,44.09,43.9333
100,0,22.2,20.39,22.0667,36.8633,37.6267,35.53
50,0,23.29,21.2,23.79,35.73,36.9,36.79
110,10,22,19.7,22.89,42.76,43.76,39.7
60,0,20.5667,19.79,21,42.26,40.09,40.3267
40,0,20.1,18.2,20.4633,36.59,37.23,37.26
180,0,21.39,19.5667,21.5,37.99,37.5967,38.59
100,0,23.79,23,24.3233,39.76,37.925,37.6333
130,0,23.0333,22.5,23.2,37.2,35.29,36.4667
240,0,23.6,22,23.73,42.3667,39.6633,38.9333
50,0,18.7,17.89,19.6,46.1633,46.2,44.59
110,0,20.79,20.5,20.2,44.2233,43.06,44.79
110,0,23.1,23,23.2,37.99,33.9267,35.7
50,0,19.7,17.29,20.0333,37.2,39.8267,38.8267
40,0,21.39,18.8567,21.39,37.4,39.7,37.4333
40,0,21.29,17.79,23.3233,39.4,44.56,38
40,0,21,19.2,21.2,39,39.26,38.2
370,0,22.1,21.79,22.3233,39.1667,37.3333,38.73
30,0,17.89,17.1,18.9175,45.06,45.2667,42.425
630,0,21.39,20.39,20.89,42.1,38.09,39.76
60,0,22,19.79,23.7,42.4,45.59,40.2
80,20,21.4267,19.76,20.89,38.73,39.8633,38.09
50,0,20.7,20,20.2,46.2,44.4333,45.5
130,0,20.3233,19.76,19.8233,40.9,34.46,36.03
40,0,18.6,17.6333,19.4267,43.29,44.03,42.7
70,30,24.89,22.76,25.76,44.79,45.3267,42.1633
50,0,19.89,18,21,36.09,37.3633,36
60,0,21.1,18.5,21.79,39,42.9,37.4
50,0,22.6,20.2,22.79,39.59,42,39.4
50,0,18.76,18.1,19.79,42.23,41.5,43.2
60,0,24,24.29,23.5,31.0667,27.8567,33.79
80,10,20.89,20.1,21.7,44.3633,44,44.29
160,0,22.7,21.2,22.6,35.53,36.2,35.09
60,0,21.6667,18.8567,22.8567,40.4667,44.3633,39.4667
280,10,20.6667,19.6,21.26,40.2667,40.0267,45.3967
80,20,21.29,18.2,22.89,41.76,46.6333,38.59
260,0,25.2,28.5,28.1114,48.8633,38.76,44.3714
190,0,20.0333,19.2,19.9633,45.5,44.1267,44.7
60,0,20.6,18.7,20.79,35,35.73,36.4
40,0,20.4267,18.79,20.29,40.5667,40.29,40.5
70,0,21.5,22.73,22,39.7,37.6333,37.59
60,0,19.8233,19.2,19.7,46.06,44.8633,44.59
110,0,21.0333,18.3233,22.23,40.6667,45.0667,38.4333
500,0,19.7,18.89,19.89,45.59,44.23,44.9
60,0,22,18.89,22.9267,38.2,43,37.8267
60,0,21.89,22.7,23,41.9633,38.73,38.79
40,0,20.79,18.29,21,35.7,37,35.7
60,0,21.29,19.3233,21.79,37.6567,39.53,36.76
50,0,21,18.39,21.89,40.29,44.1267,38.2
260,0,20.29,18.1667,20.6,38.6633,40.2,39.1633
40,10,21.39,20.79,20.2,44.56,43.8633,45.6633
100,0,22.7,21.2,22.6,38.3333,37.06,35.9
240,10,20.39,19.29,21.76,39.4667,38.29,39.7
20,0,18,17.1667,19.1,43.7,44.29,42
220,0,22.1,21.1667,22.4267,43.7267,42.2667,41.36
60,10,19.6667,17.5,20,35.9,38,38.2
600,20,21.29,19.6333,22.23,33.4667,32.5667,33.89
280,10,21.26,19.39,20.89,42.5967,40.6233,36.1
50,0,18.39,17.4267,19.1,43.09,43.8267,42.3633
40,0,19.9633,19.29,20.5,45.4667,44.7,44.2
370,10,20.26,19.2,20.79,39.0667,37.845,37.79
100,20,21.5,19.79,20.8233,41,41.0267,41.1567
70,10,19.79,18.89,19.8233,36.7667,36.9233,35.9333
70,20,20.5,17.89,20.9267,38.5,40.9333,37
330,10,21.29,19.6,22.3567,33.0667,32.4333,34.1633
270,0,19.6,18.7,21.1714,37.26,36.7,37.5643
50,0,21.39,18.6,22.1333,39.73,43.79,38.3267
40,0,21,20.1,21.7,44.2,43.845,44.29
50,0,22.39,22.6,22.39,38.5,36.6267,37.9
230,0,25.5,25.89,25.29,36.9333,31.1233,36.09
60,0,22.1,20.0333,22.1,38.9667,38.4,37.3633
60,0,22.1,19.5,22.79,39.09,42.56,38.9
370,0,21.2,18.6725,22.2,36.73,40.2475,34.9
110,20,21.5,19.7,20.8233,38.9667,39.9,38.1267
40,0,19.2,18.5,19.79,44.09,43.9,44.6633
50,0,23.1,20.7,25.29,39.7,41.312,37.59
110,0,22,20.26,21.89,41.1633,42.73,38.4333
60,0,22.1,18.39,23.29,37.5,42.4,37.5
60,0,21.29,19.79,20.2,32.06,31.9567,34.4
50,0,21.39,18.4633,23.0667,38.6633,43.3267,37.09
80,0,23.39,21.3567,22.7,36.4667,37.9,36.1267
80,10,23,21.29,23.7,34.9667,33.5,33.23
440,20,20.7,18.89,21.79,39.4633,41.23,35.73
70,10,24,23,23.6,34.03,32.995,34.9333
310,0,20.6,17.395,21,35.9,40.45,34.4333
40,0,22.79,20.5,22.1,38.6267,40.9333,37.59
70,20,21.2,18.6,22,39.79,43.5,38.09
270,0,22.0333,21.1633,22.5,40.3633,41.1933,38.4
90,0,22.6,22.7,23.315,41.3267,38.23,39.1725
50,0,19.79,17.29,21,38,41,37.5
80,0,19.2,18.7,18,41.79,41.29,43.79
80,0,22.1,20.79,20.89,37.26,37,38.59
440,20,20.6,19.5667,21.1333,40.4,40.4333,46.1233
50,0,20.1333,18.4267,19.79,33.79,34.59,36.29
60,0,22.7,19.7,23.39,39.5,44,39.5
40,10,21,20.1,21.39,48.1633,47.53,46.5
50,0,21.29,20.7,22.29,45.8267,44,45.29
110,10,21.29,19.26,21.6,39.43,40.2,36.8267
90,0,23.34,21.5,24.8233,45.645,47.23,40.6267
470,0,22.7,22.5,23.29,41.53,38.9333,39.2
60,0,22.26,19.3233,22.7,35.7,37.6333,35.73
430,0,22.29,20.1,25.2,46.09,49.3267,40.59
60,0,23,20.5333,23.39,34.59,35.9667,36.7
60,0,20.1,17.2,22.1,34.5,37.7,35.2
50,10,21.39,20.5,21.7,47.09,47.1633,46.7
50,0,21.1,20.3233,21.2,40.29,39.2,42.7
790,0,22.39,22.39,25,45.5633,42.9667,41.4333
290,20,20.9267,19.7,23.1667,38.1,36.9667,38
140,0,25.3233,25,26.4267,48.1567,46.29,42.79
210,0,23.7,27.39,25.1667,39.6933,32.618,37.43
120,0,23.89,23.7386,24.6,40.79,37.8286,38.09
50,0,23.39,22.2,24.39,41.5,41.2,38.9
70,20,22.79,20.89,25.9267,42.3333,42.9667,41.1967
50,0,21.5,19.5,22.39,40.5675,43.6267,38.03
60,0,24.79,22.8471,26,47,49.3986,43.48
30,0,20.6667,20,20.26,44.1633,43.59,43.6333
30,0,20.2,18.0333,22.2,36.9,39.4333,34
100,20,21.1,19.5667,20.76,40.35,40.43,41.4333
40,0,18.89,18.29,19.89,42.1633,41.4,43.23
60,0,23.29,21.23,23.79,35.7,36.79,36.7
20,0,21,20.4267,22.23,45.79,43.9,45.1567
60,0,22,20.1,22.7,36.2,37.3633,34.4
50,0,20,17.73,20.4633,35.645,37.2,35.0267
90,0,19.6,18.5,19.79,38.86,39.5267,37.5
50,0,22.3567,25.6333,23.2,38.9,31.7633,37.7
70,0,21.29,19,22.1,38.9,42.2,37.4
50,0,21.1,18.29,23.1,41.3633,44.7,39.59
80,0,22.7,20.7,22.79,41.5,43.3633,39.5
50,0,19.6333,17.29,20.1,37.2,39.8267,38.8267
60,0,24.39,22.6,25.7,39.09,40.1633,38.8633
50,0,20.6,18.6,20.79,37.59,39.1633,39.5
30,0,19.89,17.2,20.89,37.3267,40.7,38
40,0,19.6,17.39,20.1,37.7,40,37.29
30,0,19.6333,18.6,19.0667,38.9333,39.1633,38.9667
60,0,22.5667,19.9267,22.89,35.2,36.5667,35.4333
90,20,22,19.89,21,36.3633,36.4667,36.9
60,0,20.89,18.6333,22.6,33.59,34.59,35.06
40,0,20.2,18.5,19.79,33.79,34.59,36.378
80,20,22,20.23,21.3233,37.5,38.09,38.4233
30,0,20.79,19,20.29,41,41.1633,41.79
60,0,23,23.39,23.0333,34.9667,31.6667,35.3267
50,0,24.1,22.29,25.39,47.7,49.7667,42.59
70,0,23,21.6333,23.1,42.2,43.0667,39.5
130,0,21.29,18.9633,22.89,40.3633,44.6267,37.29
60,10,20.6333,17.5,21.6,36.6267,40.53,35
160,30,21.79,20.5667,21.79,38.6567,38.4333,37.4667
80,0,21.0429,20.29,20.79,39.1571,37.5643,38.2771
50,0,19.39,18.8233,20.6,42.09,41.23,44.23
110,30,23.5,23,24.29,34.9,32.834,34.718
270,0,22.6,22.0333,24.3933,44.93,41.7967,39.6
40,0,22.79,20.2,23.5,34.59,36.4,37
50,0,23.1,20.4633,23.1667,38.2,40.7,38.59
50,0,20.89,20.1,20.4633,36.5,35.5,36.76
40,0,19.2,18,19,39.7,40.29,39.5675
50,0,23.26,22.39,21.5667,40.09,39.6633,43
60,10,21.7,19.0667,21.7,37.79,39.8633,36.4667
40,0,19.29,18.1,19.6,41.29,41.56,40.59
60,0,22.5,24.6,23.1,42.1633,36.8633,39.2
140,30,22.075,20.89,20.9633,38.32,37.5267,39.1633
70,0,25.5333,26.196,26.2,48.3333,44.532,44.28
50,0,22.1,21.79,21.9022,44.9667,43.59,44.4611
80,0,25.1,27.2,25,32.5,27.0514,36.2675
50,0,23.29,20.4267,23.7,39.6933,42.4567,37.7
30,0,21.4267,19.5,20.6,37.79,38.59,38.59
60,10,22.6,19.73,22.5,39.2233,40.76,38.06
60,0,21.6,18.7,22.6,35.26,38.26,34.4667
40,0,20.29,19.29,20.89,42.5,42.09,44.29
50,0,21.1667,18.6,20.8233,36.09,37.2,35.2667
110,0,22.89,21.4267,24.2,44.53,43.89,38.73
70,0,20.7,19.1,20.1,33.76,34.06,35.2
50,20,21.7,20.3233,21.5,43.4333,44.09,42.4
50,0,21.7,20,20.76,37.4667,36.8267,38.4
90,10,19.6667,18.8233,20.29,52.0333,47.7267,44.0267
80,20,20.5,19.7,20.39,43.7233,43.23,44.09
40,10,21.5,18.6,21.39,35.5,37.5,34.9
60,0,21.7225,18.89,22.9267,39.2975,43.4,39.09
50,0,24.29,22.7,25.89,39.4667,39.7667,36.79
50,0,20.1333,18.2,21.16,36.23,37.4667,36.2
110,0,23.5,22.6571,24.18,34.6567,32.5514,34.054
50,0,25.1,27.39,26.2,38.845,31.9633,38.29
170,0,26.1,27.6333,28.2771,45.1567,38.7667,40.6114
90,10,24.79,25.1,24.2,35.5,32.1933,36
100,0,23.39,21.29,23.39,38.73,39.8633,38.56
50,0,20.1333,18.6,20.5,37.7,38.26,36.7
110,0,22.2,22.4633,23.89,37.8633,35.73,35.4
40,0,19.7,19,19.89,46.09,45.5,45.1267
100,0,21.2,20.39,21.6,44.93,42.7,43.76
90,0,22.6,23.7,22.89,35.59,31.0667,35.4333
100,0,21.8567,20.93,22.5,40.5,41.6333,38.3267
340,0,21.0667,18.79,22.76,37.6667,38.9333,37.0633
120,10,23.6,23.29,24.3233,43.09,40.44,39.1267
130,0,23,21.1,22.79,44.5267,41.6425,36.8633
50,0,24.79,23.1286,26,47,49.0957,43.4
40,0,23.29,21.6,24.29,38.53,38.09,36.254
50,0,22.5333,20,23.1,35.29,37.2,36.8633
30,0,22.7,20.29,22,36.29,38.6567,35.8267
40,0,19.2,18.39,18.79,38.7,38.2,39.79
30,0,23.1,25,22.9633,28.2933,22.7233,32.1933
60,0,23.6,23.2,24.73,44.79,42.5,40.79
60,0,21.29,20.5,22.29,42.29,41.7,43.6867
690,10,22.5333,22.0667,22.39,45.0267,39.79,41.93
60,0,21.79,20.29,23,44.5,46.3633,41.76
110,0,23.5,21.5,23.5,39.09,39.73,38.53
70,20,20.2,18.39,20.7,39.23,39.7233,38.6633
350,0,20.39,17.1,20.79,39.9,46.23,38.1267
100,10,21.39,19.29,21.79,38.4986,39.4,37.09
50,10,21.5,18.9267,22.6,40.5,44.23,38.23
70,0,21.89,21,21,39.4667,38.79,41.29
230,0,20.1,18.2,20.26,39.4333,40.2,39
140,0,22.0333,22.0333,23.1,44.3633,41.33,38.9
50,0,22.39,21.4633,22.6667,39.29,38.5,38.3633
60,0,21.7,18,23.2,37.3633,42.9333,37.7
40,0,21,17.7,20.2,35.7,39.09,36.4667
90,10,21.5667,19.6,20.39,35.4,37,35.59
30,0,20.0667,18.2,20.2,36.1633,37.4,38.2
40,10,19.29,18.79,19.5,44.7967,44,44
60,0,24.2,21.89,26.29,47.7,50.2,44.7
30,0,19.5,19,21.2,42,40.93,45.5967
110,0,20.39,17.1667,20.76,40.5267,46.29,38.1633
80,0,22.6,21.7,24.1,39.76,38.73,37.345
120,0,21.39,18.6,22.89,39.795,44.56,37.2
40,0,22.4267,21.73,21.6333,43.3267,43,44.79
60,0,21.4267,23.7633,22.5,36.79,32.9233,34.59
50,0,20.6333,19.7,20.1,35.03,34.73,35.3267
40,0,21,20.29,21.89,45.3633,43.7,44.4
400,10,21.5,19.2,21.1,41.79,45.6267,39.2
60,0,24.6,21.89,24.29,38,40.0643,32.23
50,0,23,24.6967,24.2,40.4,37.3933,36.98
110,0,25.29,23.9633,26,45.59,44.79,42.56
60,0,23.29,23.39,24.5,46.6633,43.86,41.79
250,10,19.6,19.1333,19.2,41.59,40.9,42.8633
50,0,17.89,17.1,19,44.5,44.8267,42.26
100,20,20.1,18.8567,20.5,40.06,41.1633,38.75
90,20,23,21,24.39,43,45,39.4
210,10,21.79,21.23,21.7,63.36,43.2333,47.2
90,0,22.89,21.5333,24.2,45.8667,44.29,38.5
30,0,22.2,19.6,23,36.9,39.56,36.9
60,0,21.39,18.39,23.7,41.4,45.5,39.59
60,0,21.76,18.29,23.73,39.79,45.09,38.4
100,0,21.5,20.3567,21.1,39.6633,39.6267,39.29
90,0,22.1,21.8233,22.39,45.8633,43.4633,43.6883
120,0,21,20.23,21.5,35.2,33.3267,34.79
110,10,20.7,19.4633,20.4267,42.93,42.5,41.5667
80,0,21.89,20.1,22.6,36.3633,37.6633,34.2
120,10,20.1,18.9633,18.5667,43.6933,36.9,39.6633
40,0,19,18.39,19.89,42.09,41.29,43.2
70,20,22.6,20.7,22.2,38.23,40.03,38.09
40,0,20.29,18.2,20.7,38.5,40.2,39.59
60,0,20.6,18.1,20.6,35.23,37,38.23
140,20,22.89,22.39,22.6,53.545,42.9667,45.3267
40,0,19.6,18.1333,19.76,41.03,41.7,40.59
120,10,21.6,20.3233,21,37.5667,37.9333,37.59
90,0,22.5,22.7,23.1,40.9,38.5,38.6633
90,0,21,20.2,21.29,35.29,34.4667,34.56
400,20,20.9267,19.2,20.7,40.9,40.45,41.4333
430,0,21.43,20.39,21.9633,44.86,42.0967,41.4
60,0,21.39,18.5,22.89,39.2,44.2233,37.06
90,0,22.6,20.6333,22.79,37.06,38.7967,36.9333
60,20,21.73,20.8233,22.39,47.8633,46.1633,45.03
40,0,19.39,18.1,19.1,40.29,40.4,39.5
50,0,20,19.1,20.2,43.7,44,44.4
100,20,21.39,19.7,20.8567,42.33,41.8267,41.6933
90,0,21.7,19,20.6,35.23,37.56,36.5
30,0,19.89,18,21,36.09,37.3633,36
60,0,25.0667,23.35,26.5,48,49,45.09
50,0,21.6,18.2,23.39,35.3267,39.23,35.4
70,20,18.4267,17.79,19.29,43.3267,42.23,42.4
40,0,20.89,20.29,20.39,44.2,43.4,43.56
50,0,21.2,18.29,22.3567,38.09,41.345,37.9
